commit_sha,body,id,created_at,updated_at
f3ff42f93a451d7ffb2ff11cb9485f3f88089c83,This PR causes bugs in routers which have mux.Host() ,33329808,2019-04-26 23:25:52+00:00,2019-04-26 23:25:52+00:00
f3ff42f93a451d7ffb2ff11cb9485f3f88089c83,"Can you please file a new issue - and fill in the issue template -
describing the bug in full?

On Sat, Apr 27, 2019 at 12:25 AM Harshavardhana <notifications@github.com>
wrote:

> This PR causes bugs in routers which have mux.Host()
>
> —
> You are receiving this because you authored the thread.
> Reply to this email directly, view it on GitHub
> <https://github.com/gorilla/mux/commit/f3ff42f93a451d7ffb2ff11cb9485f3f88089c83#commitcomment-33329808>,
> or mute the thread
> <https://github.com/notifications/unsubscribe-auth/AAAEQ4CYTX43KZYPXYHXH2TPSOFQDANCNFSM4HI242YA>
> .
>
",33331197,2019-04-27 06:04:10+00:00,2019-04-27 06:04:10+00:00
6137e193cdcba2725f16de84eaf0db2b769d9668,"I am getting this error, it may be relevant to your latest changes - if so, let me know what should I do to correct:
![screenshot 2018-12-26 08 00 18](https://user-images.githubusercontent.com/46149869/50434807-7383dd00-08e7-11e9-8a82-2aa65d04201f.png)
",31779201,2018-12-26 06:23:35+00:00,2018-12-26 06:23:35+00:00
6137e193cdcba2725f16de84eaf0db2b769d9668,"Please raise a new issue using the issue template, @yvirtual",31781875,2018-12-26 14:19:44+00:00,2018-12-26 14:19:44+00:00
5ab525f4fb1678e197ae59401e9050fa0b6cb5fd,"import ""github.com/gorilla/mux""
func TestCreatePerson(t *testing.T) {

    personJson := `{""Role"":1, ""Firstname"": ""Testy"", ""Lastname"": ""Tester"", ""Address"": {""City"": ""Seattle"", ""State"": ""WA"", ""Country"": ""USA""}}`

    reader := strings.NewReader(personJson)

    req, err := http.NewRequest(""POST"", ""/people"", reader)
    if err != nil {
        t.Fatal(err)
    }

    req = mux.SetURLVars(req, map[string]string{""id"":""3""})

    rr := httptest.NewRecorder()
    handler := http.HandlerFunc(CreatePersonHandler)
    handler.ServeHTTP(rr, req)

    if status := rr.Code; status != http.StatusOK {
        t.Errorf(""handler returned wrong status code: got %v want %v"",
            status, http.StatusOK)
    }

    if rr.Body.String() != personJson {
        t.Errorf(""handler returned unexpected body: got %v want %v"",
            rr.Body.String(), personJson)
    }
}

go test 
./main_test.go:84:11: undefined: mux.SetURLVars  

..what am I missing?
",26182433,2017-12-11 03:09:51+00:00,2017-12-11 03:09:51+00:00
5ab525f4fb1678e197ae59401e9050fa0b6cb5fd,"What version of mux are you using?

$ git rev-parse HEAD


Make sure you are on tip of master:

$ go get -u github.com/gorilla/mux
On Sun, Dec 10, 2017 at 7:09 PM Eric Lang <notifications@github.com> wrote:

> import ""github.com/gorilla/mux""
> func TestCreatePerson(t *testing.T) {
>
> personJson := `{""Role"":1, ""Firstname"": ""Testy"", ""Lastname"": ""Tester"", ""Address"": {""City"": ""Seattle"", ""State"": ""WA"", ""Country"": ""USA""}}`
>
> reader := strings.NewReader(personJson)
>
> req, err := http.NewRequest(""POST"", ""/people"", reader)
> if err != nil {
>     t.Fatal(err)
> }
>
> req = mux.SetURLVars(req, map[string]string{""id"":""3""})
>
> rr := httptest.NewRecorder()
> handler := http.HandlerFunc(CreatePersonHandler)
> handler.ServeHTTP(rr, req)
>
> if status := rr.Code; status != http.StatusOK {
>     t.Errorf(""handler returned wrong status code: got %v want %v"",
>         status, http.StatusOK)
> }
>
> if rr.Body.String() != personJson {
>     t.Errorf(""handler returned unexpected body: got %v want %v"",
>         rr.Body.String(), personJson)
> }
>
> }
>
> go test
> ./main_test.go:84:11: undefined: mux.SetURLVars
>
> ..what am I missing?
>
> —
> You are receiving this because you are subscribed to this thread.
> Reply to this email directly, view it on GitHub
> <https://github.com/gorilla/mux/commit/5ab525f4fb1678e197ae59401e9050fa0b6cb5fd#commitcomment-26182433>,
> or mute the thread
> <https://github.com/notifications/unsubscribe-auth/AABIcNKDF06rkkK2EdbZNkQkWsK4Ajrmks5s_J0AgaJpZM4Q8zym>
> .
>
",26182439,2017-12-11 03:12:26+00:00,2017-12-11 03:12:26+00:00
5ab525f4fb1678e197ae59401e9050fa0b6cb5fd,"did that:  go get -u github.com/gorilla/mux 
same error",26182449,2017-12-11 03:16:12+00:00,2017-12-11 03:16:12+00:00
5ab525f4fb1678e197ae59401e9050fa0b6cb5fd,Can you please open a new issue and fill out the issue template?,26182895,2017-12-11 04:51:46+00:00,2017-12-11 04:51:46+00:00
5ab525f4fb1678e197ae59401e9050fa0b6cb5fd,"Never mind. I reduced it down and now it works, so clearly a problem on my side. Thanks

//=================================================
```
//main.go

package main

import (
	""github.com/gorilla/mux""
	""encoding/json""
	""log""
	""net/http""
	""strconv""
	""os""
	""fmt""
)


func determineListenAddress() (string, error) {
  port := os.Getenv(""PORT"")
  if port == """" {
    return """", fmt.Errorf(""$PORT not set"")
  }
  return "":"" + port, nil
}

type Person struct {
	ID        int   		`json:""id""`
	Firstname string   	`json:""firstname,omitempty""`
	Lastname  string   	`json:""lastname,omitempty""`
}

var people 		[]Person

func CreatePersonHandler(w http.ResponseWriter, r *http.Request) {

	var i int
	params := mux.Vars(r)
	var person Person

	if r.Body == nil {
		http.Error(w, ""Body: No request body"", 400)		//400: no body
		return
	}

	err := json.NewDecoder(r.Body).Decode(&person)
	if err != nil {
		http.Error(w, ""Body: "" + err.Error(), 400)		//400: poorly formed json in body
		return
	}
  defer r.Body.Close()

	i, err = strconv.Atoi(params[""id""])
	if err != nil {
		http.Error(w, ""ID: "" + err.Error(), 400)			//400: poorly formed id
		return
	}

	for _, item := range people {
		if item.ID == i {
			http.Error(w, ""ID: already exists"", 400)		//400: id already exists
			return
		}
	}

	person.ID = i
	people = append(people, person)
	json.NewEncoder(w).Encode(person)								//200: person added, return it
}

func main() {
  addr, err := determineListenAddress()
  if err != nil {
    log.Fatal(err)
  }

	router := mux.NewRouter()

	router.HandleFunc(""/people/{id}"", CreatePersonHandler).Methods(""POST"")
		
  log.Printf(""Listening on %s...\n"", addr)
	log.Fatal(http.ListenAndServe(addr, router))
}

//main_test.go

package main

import (
		""github.com/gorilla/mux""
        ""net/http""
		""net/http/httptest""
        ""testing""
        ""strings""
)

func TestCreatePerson(t *testing.T) {

    personJson := `{""Firstname"": ""Testy"", ""Lastname"": ""Tester""}`

    reader := strings.NewReader(personJson)

    req, err := http.NewRequest(""POST"", ""/people"", reader)
    if err != nil {
        t.Fatal(err)
    }
    
    req = mux.SetURLVars(req, map[string]string{""id"":""3""})

    rr := httptest.NewRecorder()
    handler := http.HandlerFunc(CreatePersonHandler)

    handler.ServeHTTP(rr, req)

    if status := rr.Code; status != http.StatusOK {
        t.Errorf(""handler returned wrong status code: got %v want %v"",
            status, http.StatusOK)
    }

    expected := `{""id"":3,""firstname"":""Testy"",""lastname"":""Tester""}`

    if strings.TrimSpace(rr.Body.String()) != strings.TrimSpace(expected) {

        t.Errorf(""handler returned unexpected body: got %v want %v"",
            rr.Body.String(), expected)
    }

}
```

",26183463,2017-12-11 05:54:05+00:00,2017-12-11 05:54:05+00:00
7904d2e42e7ebbdb4a6eb3e57eb201b11df25c57,All the other test files belong to the `mux` package. Why is this one different?,26690273,2018-01-06 18:59:45+00:00,2018-01-06 18:59:45+00:00
